Year,Round,GameID,WinningTeam,WinningSeed,WinningScore,LosingTeam,LosingSeed,LosingScore,ScoreDiff
2013,E8,698,Wichita St.,9,76.0,Gonzaga,1,70.0,6.0
2013,Round16,699,La Salle,13,76.0,Mississippi,12,74.0,2.0
2013,Round16,700,Arizona,6,74.0,Harvard,14,51.0,23.0
2013,Round8,701,Ohio St.,2,78.0,Iowa St.,10,75.0,3.0
2013,Round16,702,Kansas,1,70.0,North Carolina,8,58.0,12.0
2013,R32,703,Michigan,4,78.0,VCU,5,53.0,25.0
2013,Round8,704,Florida,3,78.0,Minnesota,11,64.0,14.0
2013,Round16,705,Florida Gulf Coast,15,81.0,San Diego St.,7,71.0,10.0
2013,Round16,706,Indiana,1,58.0,Temple,9,52.0,6.0
2013,E8,707,Syracuse,4,66.0,California,12,60.0,6.0
2013,Round8,708,Marquette,3,74.0,Butler,6,72.0,2.0
2013,Round16,709,Miami FL,2,63.0,Illinois,7,59.0,4.0
2013,R64,710,Louisville,1,77.0,Oregon,12,69.0,8.0
2013,Round8,711,Duke,2,71.0,Michigan St.,3,61.0,10.0
2013,E8,712,Wichita St.,9,72.0,La Salle,13,58.0,14.0
2013,Round8,713,Ohio St.,2,73.0,Arizona,6,70.0,3.0
2013,R32,714,Michigan,4,87.0,Kansas,1,85.0,2.0
2013,Round8,715,Florida,3,62.0,Florida Gulf Coast,15,50.0,12.0
2013,E8,716,Syracuse,4,61.0,Indiana,1,50.0,11.0
2013,Round8,717,Marquette,3,71.0,Miami FL,2,61.0,10.0
2013,R64,718,Louisville,1,85.0,Duke,2,63.0,22.0
2013,E8,719,Wichita St.,9,70.0,Ohio St.,2,66.0,4.0
2013,R32,720,Michigan,4,79.0,Florida,3,59.0,20.0
2013,E8,721,Syracuse,4,55.0,Marquette,3,39.0,16.0
