Year,Team,InTournament,TeamNo,Seed,NET_RPI,ELO,Q1_W,Q2_W,Q1_PLUS_Q2_W,TR_RANK,TR_RATING,SOS_RANK,LUCK_RANK,CONSISTENCY_RANK,O_RATE,D_RATE,RELATIVE_RATING,TRUE_TEMPO,KenPomRank,AdjEM,AdjO,AdjD,AdjT,Luck,SOS,NCSOS
2009,Mississippi St.,True,99.0,13.0,63.0,46.0,3.0,7.0,10.0,63.0,16.1,69.0,166.0,192.0,,,,,,,,,,,,
2009,Wake Forest,True,71.0,4.0,16.0,15.0,6.0,6.0,12.0,13.0,22.9,16.0,68.0,246.0,,,,,,,,,,,,
2009,Missouri,True,98.0,3.0,10.0,8.0,7.0,5.0,12.0,8.0,25.6,24.0,208.0,257.0,,,,,,,,,,,,
2009,Illinois,True,109.0,5.0,22.0,29.0,9.0,3.0,12.0,26.0,20.4,37.0,93.0,220.0,,,,,,,,,,,,
2009,Ohio St.,True,92.0,8.0,32.0,30.0,7.0,4.0,11.0,41.0,18.1,35.0,25.0,84.0,,,,,,,,,,,,
2009,Temple,True,81.0,11.0,30.0,35.0,2.0,7.0,9.0,51.0,16.8,63.0,140.0,76.0,,,,,,,,,,,,
2009,Portland St.,True,88.0,13.0,113.0,96.0,1.0,0.0,1.0,112.0,10.2,194.0,80.0,180.0,,,,,,,,,,,,
2010,Houston,True,181.0,13.0,110.0,98.0,2.0,3.0,5.0,82.0,14.9,90.0,320.0,148.0,,,,,,,,,,,,
2010,Lehigh,True,177.0,16.0,152.0,134.0,0.0,0.0,0.0,208.0,5.2,305.0,114.0,211.0,,,,,,,,,,,,
2010,Murray St.,True,168.0,13.0,57.0,30.0,0.0,2.0,2.0,46.0,19.8,154.0,171.0,144.0,,,,,,,,,,,,
2010,Texas A&M,True,145.0,5.0,13.0,20.0,5.0,4.0,9.0,29.0,21.9,7.0,23.0,5.0,,,,,,,,,,,,
2010,Kentucky,True,178.0,1.0,2.0,2.0,5.0,10.0,15.0,5.0,26.9,32.0,19.0,110.0,,,,,,,,,,,,
2010,Washington,True,136.0,11.0,41.0,31.0,3.0,5.0,8.0,23.0,22.7,55.0,304.0,345.0,,,,,,,,,,,,
2010,Kansas St.,True,179.0,2.0,6.0,11.0,8.0,3.0,11.0,7.0,26.0,3.0,90.0,111.0,,,,,,,,,,,,
2010,BYU,True,192.0,7.0,23.0,14.0,4.0,4.0,8.0,4.0,27.2,50.0,273.0,304.0,,,,,,,,,,,,
2010,Minnesota,True,172.0,11.0,62.0,56.0,5.0,1.0,6.0,21.0,22.7,21.0,341.0,341.0,,,,,,,,,,,,
2010,Oklahoma St.,True,159.0,7.0,32.0,41.0,4.0,1.0,5.0,47.0,19.8,31.0,65.0,145.0,,,,,,,,,,,,
2010,Louisville,True,176.0,9.0,37.0,54.0,3.0,5.0,8.0,31.0,21.1,28.0,296.0,336.0,,,,,,,,,,,,
2010,Ohio,True,161.0,14.0,95.0,90.0,1.0,4.0,5.0,104.0,13.0,139.0,322.0,84.0,,,,,,,,,,,,
2010,Robert Morris,True,154.0,15.0,129.0,110.0,0.0,1.0,1.0,210.0,5.1,274.0,18.0,76.0,,,,,,,,,,,,
2010,Maryland,True,174.0,4.0,24.0,18.0,5.0,6.0,11.0,10.0,25.7,6.0,228.0,213.0,,,,,,,,,,,,
2010,Sam Houston St.,True,152.0,14.0,70.0,60.0,0.0,0.0,0.0,84.0,14.9,172.0,153.0,312.0,,,,,,,,,,,,
2010,Gonzaga,True,182.0,8.0,36.0,32.0,3.0,5.0,8.0,38.0,20.4,69.0,47.0,309.0,,,,,,,,,,,,
2010,Tennessee,True,147.0,6.0,14.0,21.0,2.0,9.0,11.0,22.0,22.7,26.0,82.0,343.0,,,,,,,,,,,,
2010,UC Santa Barbara,True,144.0,15.0,94.0,86.0,0.0,1.0,1.0,144.0,9.4,169.0,10.0,114.0,,,,,,,,,,,,
2010,Butler,True,193.0,5.0,12.0,6.0,3.0,3.0,6.0,32.0,20.9,73.0,16.0,24.0,,,,,,,,,,,,
2010,Wofford,True,132.0,13.0,69.0,42.0,0.0,2.0,2.0,96.0,13.7,146.0,50.0,12.0,,,,,,,,,,,,
2010,Notre Dame,True,163.0,6.0,49.0,39.0,5.0,7.0,12.0,50.0,19.5,51.0,138.0,107.0,,,,,,,,,,,,
2010,East Tennessee St.,True,187.0,16.0,121.0,127.0,0.0,1.0,1.0,149.0,9.1,178.0,146.0,161.0,,,,,,,,,,,,
2010,Michigan St.,True,173.0,5.0,28.0,35.0,3.0,5.0,8.0,19.0,23.2,22.0,113.0,152.0,,,,,,,,,,,,
2010,Duke,True,188.0,1.0,3.0,3.0,8.0,10.0,18.0,2.0,32.1,1.0,267.0,212.0,,,,,,,,,,,,
2010,Florida St.,True,185.0,9.0,42.0,43.0,4.0,5.0,9.0,24.0,22.5,14.0,101.0,224.0,,,,,,,,,,,,
2010,Cornell,True,189.0,12.0,46.0,19.0,0.0,3.0,3.0,67.0,16.7,134.0,20.0,209.0,,,,,,,,,,,,
2010,St. Mary's,True,153.0,10.0,35.0,27.0,3.0,4.0,7.0,30.0,21.4,88.0,128.0,141.0,,,,,,,,,,,,
2010,Vanderbilt,True,140.0,4.0,26.0,34.0,4.0,6.0,10.0,28.0,22.0,30.0,87.0,257.0,,,,,,,,,,,,
2010,Vermont,True,139.0,16.0,118.0,81.0,0.0,1.0,1.0,153.0,9.0,255.0,66.0,319.0,,,,,,,,,,,,
2010,Baylor,True,194.0,3.0,9.0,13.0,7.0,5.0,12.0,12.0,24.8,11.0,85.0,261.0,,,,,,,,,,,,
2010,Pittsburgh,True,157.0,3.0,15.0,29.0,7.0,7.0,14.0,36.0,20.6,34.0,26.0,169.0,,,,,,,,,,,,
2010,Marquette,True,175.0,6.0,50.0,37.0,4.0,6.0,10.0,26.0,22.2,18.0,206.0,56.0,,,,,,,,,,,,
2010,Syracuse,True,149.0,1.0,5.0,7.0,8.0,9.0,17.0,3.0,27.9,16.0,94.0,200.0,,,,,,,,,,,,
2010,Morgan St.,True,169.0,15.0,103.0,77.0,0.0,0.0,0.0,142.0,9.4,248.0,41.0,70.0,,,,,,,,,,,,
2010,Xavier,True,131.0,6.0,19.0,15.0,3.0,7.0,10.0,20.0,22.9,46.0,231.0,189.0,,,,,,,,,,,,
2010,Wisconsin,True,133.0,4.0,21.0,33.0,6.0,3.0,9.0,9.0,25.8,8.0,255.0,267.0,,,,,,,,,,,,
2010,Villanova,True,138.0,2.0,11.0,23.0,7.0,6.0,13.0,15.0,24.2,10.0,62.0,64.0,,,,,,,,,,,,
2010,Georgetown,True,184.0,3.0,7.0,26.0,9.0,6.0,15.0,16.0,24.2,4.0,188.0,204.0,,,,,,,,,,,,
2010,Florida,True,186.0,10.0,56.0,65.0,3.0,4.0,7.0,51.0,19.3,36.0,147.0,29.0,,,,,,,,,,,,
2010,Clemson,True,190.0,7.0,34.0,45.0,5.0,5.0,10.0,18.0,23.9,15.0,293.0,166.0,,,,,,,,,,,,
2010,North Texas,True,165.0,15.0,104.0,83.0,0.0,0.0,0.0,173.0,7.8,245.0,4.0,36.0,,,,,,,,,,,,
2010,New Mexico,True,167.0,3.0,10.0,9.0,6.0,5.0,11.0,33.0,20.7,70.0,5.0,132.0,,,,,,,,,,,,
2010,New Mexico St.,True,166.0,12.0,51.0,53.0,3.0,3.0,6.0,128.0,10.5,106.0,1.0,293.0,,,,,,,,,,,,
2010,Kansas,True,180.0,1.0,1.0,1.0,12.0,4.0,16.0,1.0,32.6,2.0,68.0,143.0,,,,,,,,,,,,
2010,Northern Iowa,True,164.0,9.0,17.0,10.0,4.0,6.0,10.0,55.0,18.5,96.0,8.0,51.0,,,,,,,,,,,,
2010,Purdue,True,156.0,4.0,16.0,12.0,6.0,4.0,10.0,14.0,24.2,19.0,17.0,91.0,,,,,,,,,,,,
2010,California,True,191.0,8.0,20.0,36.0,1.0,5.0,6.0,17.0,23.9,25.0,315.0,222.0,,,,,,,,,,,,
2010,West Virginia,True,135.0,2.0,4.0,4.0,9.0,9.0,18.0,11.0,25.2,5.0,30.0,17.0,,,,,,,,,,,,
2010,Siena,True,150.0,13.0,31.0,28.0,0.0,6.0,6.0,68.0,16.6,129.0,70.0,42.0,,,,,,,,,,,,
2010,Utah St.,True,142.0,12.0,30.0,25.0,2.0,8.0,10.0,25.0,22.3,93.0,326.0,265.0,,,,,,,,,,,,
2010,Old Dominion,True,158.0,11.0,27.0,24.0,1.0,7.0,8.0,49.0,19.6,84.0,170.0,181.0,,,,,,,,,,,,
2010,Richmond,True,155.0,7.0,25.0,17.0,5.0,5.0,10.0,59.0,17.7,71.0,9.0,150.0,,,,,,,,,,,,
